source_type,source_property,target_type,target_property,import_parser,export_parser,direction,reverse_primary,requirement,cardinality,constant_value,fallback_source,fallback_parser,source_table,param_name,wrap,note
assay_type,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
assay_type,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,assay_type,,,
assay_type,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 assay type controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
assay_type,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
assay_type,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,assay_type,,,,c2m2CvTable,property_value,
analysis_type,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
analysis_type,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
analysis_type,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,analysis_type,,,
analysis_type,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 analysis type controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
analysis_type,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
analysis_type,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,analysis_type,,,,c2m2CvTable,property_value,
data_type,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
data_type,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
data_type,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,data_type,,,
data_type,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 data type controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
data_type,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
data_type,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,data_type,,,,c2m2CvTable,property_value,
file_format,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
file_format,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
file_format,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,file_format,,,
file_format,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 file format controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
file_format,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
file_format,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,file_format,,,,c2m2CvTable,property_value,
disease,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
disease,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
disease,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,disease,,,
disease,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 disease controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
disease,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
disease,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,disease,,,,c2m2CvTable,property_value,
phenotype,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
phenotype,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
phenotype,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,phenotype,,,
phenotype,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 phenotype controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
phenotype,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
phenotype,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,phenotype,,,,c2m2CvTable,property_value,
ncbi_taxonomy,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
ncbi_taxonomy,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
ncbi_taxonomy,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,ncbi_taxonomy,,,
ncbi_taxonomy,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 NCBI taxonomy controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
ncbi_taxonomy,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
ncbi_taxonomy,clade,DefinedTerm,additionalProperty,property_value,,import,FALSE,,scalar,,,,,clade,property_value,
ncbi_taxonomy,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,ncbi_taxonomy,,,,c2m2CvTable,property_value,
gene,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
gene,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
gene,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,gene,,,
gene,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 gene controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
gene,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
gene,organism,DefinedTerm,additionalProperty,property_value,,import,FALSE,,scalar,,,,,organism,property_value,
gene,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,gene,,,,c2m2CvTable,property_value,
protein,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
protein,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
protein,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,protein,,,
protein,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 protein controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
protein,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
protein,organism,DefinedTerm,additionalProperty,property_value,,import,FALSE,,scalar,,,,,organism,property_value,
protein,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,protein,,,,c2m2CvTable,property_value,
substance,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
substance,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
substance,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,substance,,,
substance,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 substance controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
substance,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
substance,compound,DefinedTerm,additionalProperty,property_value,,import,FALSE,,scalar,,,,,compound,property_value,
substance,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,substance,,,,c2m2CvTable,property_value,
compound,name,DefinedTerm,name,name_or_curie,,import,FALSE,,scalar,,,,,,,
compound,id,DefinedTerm,termCode,scalar,,import,FALSE,,scalar,,,,,,,
compound,id,DefinedTerm,identifier,ontology_term,,import,FALSE,,scalar,,,,compound,,,
compound,description,DefinedTerm,description,description_or_template,,import,FALSE,,scalar,"C2M2 compound controlled-vocabulary term {curie}{onto_suffix}, referenced by the {dcc_label} instance.",,,,,,
compound,synonyms,DefinedTerm,synonym,json_string_list,,import,FALSE,,scalar,,,,,,,
compound,,DefinedTerm,additionalProperty,property_value_const,,import,FALSE,,scalar,compound,,,,c2m2CvTable,property_value,
