source_type,discriminator,target_type,target_type_iri,level,id_strategy,id_template,id_column,keep_identifier,mint_prefix,note
run,,Computation,prov:Activity|https://w3id.org/EVI#Computation,workflow,mint,,,FALSE,computation,one per MLflow run; nested child runs link to their parent via isPartOf
source,,Software,prov:Entity|https://w3id.org/EVI#Software,software,mint,,,FALSE,software,the logged source script/notebook/project entry point (mlflow.source.name); ARK hashes name@git-commit
engine,,Software,prov:Entity|https://w3id.org/EVI#Software,software,mint,,,FALSE,software,MLflow itself
dataset,,Dataset,prov:Entity|https://w3id.org/EVI#Dataset,data,mint,,,FALSE,dataset,one per logged dataset input (mlflow.log_input); ARK hashes name@digest (content-based and run-independent)
model,,MLModel,prov:Entity|https://w3id.org/EVI#MLModel,data,mint,,,FALSE,dataset,one per logged MLflow model (the whole model directory as a single EVI MLModel; additionalType also names the W3C ML-Schema mls:Model class)
file,,Dataset,prov:Entity|https://w3id.org/EVI#Dataset,data,mint,,,FALSE,dataset,one per run artifact file
schema,,Schema,,data,keep,,,FALSE,schema,pre-built EVI Schema node (dataset colspec or fairscape-cli infer_schema); passes through verbatim
